16:30:51 ERROR - [60 - ] 	at java.awt.EventDispatchThread.pumpEvents(Unknown Source) 
16:30:51 ERROR - [60 - ] 	at java.awt.EventDispatchThread.run(Unknown Source) 
16:31:07 ERROR - [60 - ] Exception in thread "AWT-EventQueue-0" java.lang.NullPointerException 
16:31:07 ERROR - [60 - ] 	at com.simulity.loadingappletmodulev2.listeners.ActionListeners.updateAppletUI(ActionListeners.java:308) 
16:31:07 ERROR - [60 - ] 	at com.simulity.loadingappletmodulev2.listeners.ActionListeners.handleAddApplet(ActionListeners.java:289) 
16:31:07 ERROR - [60 - ] 	at com.simulity.loadingappletmodulev2.listeners.ActionListeners.actionPerformed(ActionListeners.java:112) 
16:31:07 ERROR - [60 - ] 	at javax.swing.AbstractButton.fireActionPerformed(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at javax.swing.AbstractButton$Handler.actionPerformed(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at javax.swing.DefaultButtonModel.fireActionPerformed(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at javax.swing.DefaultButtonModel.setPressed(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at javax.swing.plaf.basic.BasicButtonListener.mouseReleased(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.Component.processMouseEvent(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at javax.swing.JComponent.processMouseEvent(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.Component.processEvent(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.Container.processEvent(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.Component.dispatchEventImpl(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.Container.dispatchEventImpl(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.Component.dispatchEvent(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.LightweightDispatcher.retargetMouseEvent(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.LightweightDispatcher.processMouseEvent(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.LightweightDispatcher.dispatchEvent(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.Container.dispatchEventImpl(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.Window.dispatchEventImpl(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.Component.dispatchEvent(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventQueue.dispatchEventImpl(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventQueue.access$500(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventQueue$3.run(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventQueue$3.run(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.security.AccessController.doPrivileged(Native Method) 
16:31:07 ERROR - [60 - ] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventQueue$4.run(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventQueue$4.run(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.security.AccessController.doPrivileged(Native Method) 
16:31:07 ERROR - [60 - ] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventQueue.dispatchEvent(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventDispatchThread.pumpOneEventForFilters(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventDispatchThread.pumpEventsForFilter(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventDispatchThread.pumpEventsForHierarchy(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventDispatchThread.pumpEvents(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventDispatchThread.pumpEvents(Unknown Source) 
16:31:07 ERROR - [60 - ] 	at java.awt.EventDispatchThread.run(Unknown Source) 
16:31:22 INFO  - [111 - com.cardcentric.loadsimbatalkapplet.controller.listeners.SimbaTalkActionListener] Personalised Image File Path Loaded Successfully 
16:31:41 INFO  - [138 - com.cardcentric.loadsimbatalkapplet.perso.PersoController] Run Script 
16:31:41 INFO  - [140 - com.cardcentric.loadsimbatalkapplet.perso.PersoController] Loading the Script 
16:31:41 INFO  - [145 - com.cardcentric.loadsimbatalkapplet.perso.PersoController] Executing the Script 
16:32:12 INFO  - [88 - com.cardcentric.module.fin.pdf.GeneratePdf] PDF Generated successfully 
16:32:42 INFO  - [138 - com.cardcentric.loadsimbatalkapplet.perso.PersoController] Run Script 
16:32:42 INFO  - [140 - com.cardcentric.loadsimbatalkapplet.perso.PersoController] Loading the Script 
16:32:42 INFO  - [145 - com.cardcentric.loadsimbatalkapplet.perso.PersoController] Executing the Script 
16:33:34 INFO  - [345 - com.cardcentric.module.fin.scripts.RunScript] Run Script 
16:33:34 INFO  - [347 - com.cardcentric.module.fin.scripts.RunScript] Loading the Script 
16:33:34 INFO  - [371 - com.cardcentric.module.fin.scripts.RunScript] Executing the Script 
16:33:34 ERROR - [130 - com.cardcentric.module.fin.listener.FinModuleListener$1] Unable to run script. Please check script. 
16:33:44 INFO  - [345 - com.cardcentric.module.fin.scripts.RunScript] Run Script 
16:33:44 INFO  - [347 - com.cardcentric.module.fin.scripts.RunScript] Loading the Script 
16:33:44 INFO  - [371 - com.cardcentric.module.fin.scripts.RunScript] Executing the Script 
16:33:44 ERROR - [130 - com.cardcentric.module.fin.listener.FinModuleListener$1] Unable to run script. Please check script. 
16:36:46 INFO  - [345 - com.cardcentric.module.fin.scripts.RunScript] Run Script 
16:36:46 INFO  - [347 - com.cardcentric.module.fin.scripts.RunScript] Loading the Script 
16:36:46 INFO  - [371 - com.cardcentric.module.fin.scripts.RunScript] Executing the Script 
16:36:46 ERROR - [130 - com.cardcentric.module.fin.listener.FinModuleListener$1] Unable to run script. Please check script. 
16:36:56 INFO  - [345 - com.cardcentric.module.fin.scripts.RunScript] Run Script 
16:36:56 INFO  - [347 - com.cardcentric.module.fin.scripts.RunScript] Loading the Script 
16:36:56 INFO  - [371 - com.cardcentric.module.fin.scripts.RunScript] Executing the Script 
16:36:56 ERROR - [130 - com.cardcentric.module.fin.listener.FinModuleListener$1] Unable to run script. Please check script. 
16:37:15 INFO  - [345 - com.cardcentric.module.fin.scripts.RunScript] Run Script 
16:37:15 INFO  - [347 - com.cardcentric.module.fin.scripts.RunScript] Loading the Script 
16:37:15 INFO  - [371 - com.cardcentric.module.fin.scripts.RunScript] Executing the Script 
16:37:15 ERROR - [130 - com.cardcentric.module.fin.listener.FinModuleListener$1] Unable to run script. Please check script. 
16:37:21 INFO  - [345 - com.cardcentric.module.fin.scripts.RunScript] Run Script 
16:37:21 INFO  - [347 - com.cardcentric.module.fin.scripts.RunScript] Loading the Script 
16:37:21 INFO  - [371 - com.cardcentric.module.fin.scripts.RunScript] Executing the Script 
16:37:21 ERROR - [130 - com.cardcentric.module.fin.listener.FinModuleListener$1] Unable to run script. Please check script. 
16:37:41 INFO  - [224 - com.cardcentric.module.fin.listener.FinModuleListener$4] USIMApduException - Unable to recycle. Please Check Card 
16:38:16 INFO  - [183 - com.cardcentric.module.fin.listener.FinModuleListener$2] USIMApduException - Unable to recycle. Please Check Card 
16:38:41 INFO  - [224 - com.cardcentric.module.fin.listener.FinModuleListener$4] USIMApduException - Unable to recycle. Please Check Card 
